repo,sha,subject,files_changed,naive_tokens,diff_tokens,repowise_tokens,repowise_vs_naive,repowise_vs_diff,skipped_reason
flask,c4b39ba2f3fe,replace werkzeug.urls with urllib.parse,3,39312,600,360,109.2,1.6666666666666667,
flask,1432cddb139f,update requirements,6,1622,1374,403,4.024813895781637,3.4094292803970223,
flask,31022056aee5,remove broken link,1,4025,160,246,16.36178861788618,0.6504065040650406,
flask,0bc6be604d46,Update installation.rst,1,863,158,246,3.508130081300813,0.6422764227642277,
flask,b8eb83940cc4,Bump actions/cache from 3.2.4 to 3.2.6,1,692,190,246,2.813008130081301,0.7723577235772358,
flask,3cdcc729a737,Bump slsa-framework/slsa-github-generator from 1.4.0 to 1.5.0,1,762,173,249,3.0602409638554215,0.6947791164658634,
flask,736b5f9ff856,update dependencies,4,1446,1105,442,3.271493212669683,2.5,
flask,b10b6d4af112,add text parameter to config.from_file,4,20948,953,477,43.916142557651995,1.9979035639412999,
flask,4256fc63044f,deprecate locked_cached_property,4,48328,1181,499,96.8496993987976,2.3667334669338675,
flask,fc03d0dfab64,setup method on registered blueprint is error,2,21236,497,284,74.77464788732394,1.75,
flask,2a33c1785412,deprecate got_first_request property,3,47761,602,357,133.7843137254902,1.6862745098039216,
flask,9c02f07f9bb4,deprecate markupsafe exports,8,42123,2019,612,68.82843137254902,3.299019607843137,
flask,6650764e9719,remove previously deprecated code,16,92233,13749,1585,58.19116719242902,8.674447949526813,
flask,c4c7f504be22,update dependencies,6,22862,2079,450,50.80444444444444,4.62,
flask,41d4f62909bb,release version 2.2.3,2,16288,329,387,42.087855297157624,0.8501291989664083,
flask,24df8fc89d56,show 'run --debug' in docs,8,21051,1519,518,40.63899613899614,2.9324324324324325,
flask,aa040c085c8c,run latest black format,1,1675,244,252,6.646825396825397,0.9682539682539683,
flask,a6cd8f212e76,document the lifecycle of a flask application and request,3,4586,2536,322,14.24223602484472,7.875776397515528,
flask,ba2b3094d1a8,fix test client arg for query string example,1,2025,176,249,8.132530120481928,0.7068273092369478,
flask,ab93222bd6d4,point to app-scoped blueprint methods,2,13688,3175,290,47.2,10.948275862068966,
flask,3f195248dcd5,add celery example,9,4009,3216,810,4.949382716049382,3.9703703703703703,
flask,dca8cf013b2c,rewrite celery background tasks docs,1,1841,2955,258,7.135658914728682,11.453488372093023,
flask,428d9430bc69,Fix command-line formatting,1,907,136,252,3.5992063492063493,0.5396825396825397,
flask,a15da89dbb4b,[pre-commit.ci] auto fixes from pre-commit.com hooks,1,1894,114,246,7.699186991869919,0.4634146341463415,
flask,c1d01f69994e,[pre-commit.ci] pre-commit autoupdate,1,328,144,331,0.9909365558912386,0.4350453172205438,
flask,9abe28130d4f,fix doc,1,864,238,258,3.3488372093023258,0.9224806201550387,
flask,74c256872b5f,Bump actions/cache from 3.2.3 to 3.2.4,1,689,188,246,2.8008130081300813,0.7642276422764228,
flask,94a23a3e24b6,Bump actions/setup-python from 4.4.0 to 4.5.0,2,1453,410,287,5.062717770034843,1.4285714285714286,
flask,d93760d8bd6e,Fix function argument name,1,2285,149,243,9.40329218106996,0.6131687242798354,
flask,0b4b61146ffc,"build, provenance, publish workflow",5,1735,1897,392,4.426020408163265,4.839285714285714,
