repo,language,files,pos_keyword,auc_keyword,pos_szz,auc_szz,pos_szz_b,auc_szz_b,corrjson_pos,status,status
pydantic,python,86,17,0.7225063938618926,12,0.7393018018018018,17,0.7225063938618926,0,ok,ok
rich,python,72,6,0.7563131313131313,5,0.7059701492537314,6,0.7563131313131313,0,ok,ok
litestar,python,198,31,0.6663125362178868,23,0.6249689440993789,23,0.6249689440993789,0,ok,ok
hono,typescript,60,20,0.701875,18,0.6593915343915344,18,0.6593915343915344,0,ok,ok
zod,typescript,27,9,0.8641975308641975,8,0.8092105263157895,8,0.8092105263157895,0,ok,ok
axios,javascript,41,33,0.553030303030303,33,0.553030303030303,33,0.553030303030303,0,ok,ok
fastify,javascript,24,8,0.70703125,7,0.7436974789915967,7,0.7436974789915967,0,ok,ok
clap,rust,81,16,0.833173076923077,14,0.8480810234541578,14,0.8480810234541578,0,ok,ok
fd,rust,18,5,0.7538461538461538,4,0.7321428571428571,4,0.7321428571428571,0,ok,ok
bat,rust,34,8,0.8269230769230769,8,0.8269230769230769,8,0.8269230769230769,2,ok,ok
gin,go,43,8,0.8214285714285714,6,0.8085585585585585,7,0.7936507936507936,0,ok,ok
chi,go,31,3,0.8452380952380952,1,0.8,1,0.8,0,ok,ok
fiber,go,115,52,0.7664835164835165,40,0.784,41,0.7911997363216875,0,ok,ok
mockito,java,288,7,0.6456532791052364,2,0.6590909090909091,2,0.6590909090909091,0,ok,ok
caffeine,java,358,28,0.7519480519480519,20,0.8014792899408284,24,0.7994011976047904,0,ok,ok
detekt,kotlin,395,27,0.6473429951690821,7,0.7269882179675994,21,0.6442577030812325,0,ok,ok
coroutines,kotlin,224,19,0.6961489088575096,7,0.8380513495720869,18,0.6870280474649406,0,ok,ok
spdlog,cpp,76,13,0.6178266178266179,11,0.5678321678321678,11,0.5678321678321678,0,ok,ok
fmt,cpp,14,7,0.7040816326530612,6,0.5833333333333334,6,0.5833333333333334,0,ok,ok
npgsql,csharp,217,18,0.8468732551647125,13,0.8495475113122172,13,0.8495475113122172,0,ok,ok
quartznet,csharp,424,44,0.7506877990430622,26,0.8169694626981059,31,0.8068620208487236,8,ok,ok
cockroach,go,5373,352,0.7835036030490123,242,0.789568672676697,255,0.7884850853197863,352,ok,ok
