<string>:1: SyntaxWarning: invalid escape sequence '\p'
<string>:1: SyntaxWarning: invalid escape sequence '\p'
35 repositories from corpus.lock
kept over the cap as the only repository in its (language, kind): monica(2093, php/application), syft(2856, go/framework), bevy(2897, rust/framework), ktor(3017, kotlin/framework), laravel-framework(3354, php/framework), exposed(5380, kotlin/library)
skipped over the size cap: hugo(2918), dub(4260), django(7070)

writing cells to C:\Users\ragha\Desktop\repowise\repowise-bench\results\graph\g6-corpus\2026-08-19-13cc339a\cells

=== cobra (go/library, 66 files) ===
  [1/175] repowise-subprocess    1.264s [1.236, 1.281] peak 54.2 MB
  [2/175] codegraph              1.153s [1.124, 1.203] peak 715.6 MB
  [3/175] graphify               2.954s [2.888, 2.963] peak 829.2 MB
  [4/175] code-review-graph      2.489s [2.451, 2.569] peak 155.3 MB
  [5/175] codebase-memory-mcp    5.494s [5.446, 5.576] peak 723.0 MB

=== spring-petclinic (java/framework, 127 files) ===
  [6/175] repowise-subprocess    1.092s [1.083, 1.118] peak 51.8 MB
  [7/175] codegraph              1.162s [1.093, 1.248] peak 700.0 MB
  [8/175] graphify               2.734s [2.651, 2.753] peak 826.8 MB
  [9/175] code-review-graph      2.28s [2.275, 2.326] peak 208.7 MB
  [10/175] codebase-memory-mcp    5.286s [5.261, 5.432] peak 685.3 MB

=== requests (python/library, 130 files) ===
  [11/175] repowise-subprocess    1.019s [1.012, 1.073] peak 65.6 MB
  [12/175] codegraph              1.15s [1.135, 1.161] peak 699.2 MB
  [13/175] graphify               3.822s [3.812, 3.948] peak 835.2 MB
  [14/175] code-review-graph      2.561s [2.55, 2.586] peak 166.7 MB
  [15/175] codebase-memory-mcp    5.315s [5.311, 5.332] peak 721.8 MB

=== fmt (cpp/library, 142 files) ===
  [16/175] repowise-subprocess    3.826s [3.82, 3.884] peak 80.5 MB
  [17/175] codegraph              3.04s [3.038, 3.044] peak 921.9 MB
  [18/175] graphify               8.726s [8.625, 8.734] peak 860.5 MB
  [19/175] code-review-graph      5.28s [5.204, 5.353] peak 255.8 MB
  [20/175] codebase-memory-mcp    8.173s [8.093, 8.247] peak 1272.3 MB

=== faraday (ruby/library, 143 files) ===
  [21/175] repowise-subprocess    1.022s [0.986, 1.049] peak 46.4 MB
  [22/175] codegraph              1.104s [1.086, 1.11] peak 708.2 MB
  [23/175] graphify               2.682s [2.503, 2.706] peak 825.8 MB
  [24/175] code-review-graph      1.85s [1.81, 1.854] peak 205.9 MB
  [25/175] codebase-memory-mcp    5.263s [5.215, 5.277] peak 663.8 MB

=== leveldb (cpp/library, 154 files) ===
  [26/175] repowise-subprocess    1.809s [1.806, 1.833] peak 55.0 MB
  [27/175] codegraph              1.901s [1.834, 1.926] peak 745.8 MB
  [28/175] graphify               5.125s [5.082, 5.194] peak 842.2 MB
  [29/175] code-review-graph      4.185s [3.917, 4.194] peak 331.7 MB
  [30/175] codebase-memory-mcp    5.585s [5.576, 5.673] peak 832.2 MB

=== guzzle (php/library, 170 files) ===
  [31/175] repowise-subprocess    2.12s [2.102, 2.149] peak 84.9 MB
  [32/175] codegraph              2.367s [2.355, 2.368] peak 732.1 MB
  [33/175] graphify               9.115s [8.921, 9.493] peak 844.3 MB
  [34/175] code-review-graph      9.969s [9.96, 10.017] peak 348.9 MB
  [35/175] codebase-memory-mcp    6.199s [5.878, 6.553] peak 842.4 MB

=== taxonomy (typescript/application, 188 files) ===
  [36/175] repowise-subprocess    1.215s [1.215, 1.223] peak 52.1 MB
  [37/175] codegraph              1.398s [1.371, 1.523] peak 720.4 MB
  [38/175] graphify               4.168s [4.158, 4.273] peak 830.4 MB
  [39/175] code-review-graph      2.578s [2.572, 2.606] peak 325.6 MB
  [40/175] codebase-memory-mcp    5.459s [5.361, 5.82] peak 711.8 MB

=== Crow (cpp/framework, 193 files) ===
  [41/175] repowise-subprocess    1.67s [1.659, 1.732] peak 53.4 MB
  [42/175] codegraph              1.704s [1.618, 1.771] peak 748.6 MB
  [43/175] graphify               4.088s [4.012, 4.213] peak 833.7 MB
  [44/175] code-review-graph      2.599s [2.589, 2.744] peak 247.0 MB
  [45/175] codebase-memory-mcp    5.649s [5.55, 5.726] peak 783.8 MB

=== ripgrep (rust/application, 237 files) ===
  [46/175] repowise-subprocess    2.312s [2.271, 2.366] peak 63.7 MB
  [47/175] codegraph              2.585s [2.569, 2.646] peak 764.2 MB
  [48/175] graphify               9.369s [8.943, 9.538] peak 853.4 MB
  [49/175] code-review-graph      8.806s [8.735, 8.884] peak 323.9 MB
  [50/175] codebase-memory-mcp    6.005s [5.907, 6.101] peak 965.7 MB

=== sinatra (ruby/framework, 292 files) ===
  [51/175] repowise-subprocess    1.443s [1.401, 1.443] peak 51.6 MB
  [52/175] codegraph              1.409s [1.405, 1.442] peak 719.2 MB
  [53/175] graphify               4.2s [3.9, 4.32] peak 829.7 MB
  [54/175] code-review-graph      2.988s [2.769, 3.038] peak 362.4 MB
  [55/175] codebase-memory-mcp    5.53s [5.504, 5.778] peak 701.9 MB

=== serde (rust/library, 361 files) ===
  [56/175] repowise-subprocess    1.835s [1.803, 1.88] peak 58.6 MB
  [57/175] codegraph              2.64s [2.6, 2.733] peak 733.5 MB
  [58/175] graphify               5.978s [5.735, 6.044] peak 845.6 MB
  [59/175] code-review-graph      5.873s [5.854, 6.015] peak 358.8 MB
  [60/175] codebase-memory-mcp    5.797s [5.766, 5.823] peak 1116.5 MB

=== gitleaks (go/application, 454 files) ===
